bun install v1.3.14 (0d9b296a)
< set-cookie: _cfuvid=1bMVaKZhlAGnOKGU3o6QpJXgQ_rcajFKdYPlwxAKDIg-1785947208.353542-1.0.1.1-b44NDHfxZR11tLR.vVPxLUmdK2ux6wpfnTOYotDUk4k; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a643e9d936c-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 103
< Cache-Control: public, max-age=300
< ETag: "6c07829b76eda8244ed92ed79c23808a"
< Last-Modified: Fri, 08 Mar 2024 16:49:09 GMT
< Server: cloudflare

[PackageManager] waiting for 12 tasks
    [94.27ms]
Downloaded is-map versions
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=QuzX8oDHbc8HInJ2du2DKkguaJ_ChlkJPN8JkjbEVHE-1785947208.3534102-1.0.1.1-VwPtMtDjZyTdYSE9s9tBfhKgHuPGI3UEiFu5umpl4oAAJcjOpLhMPwN5FndYQd.62DAn05pqAVJckWsiJxvJzt5_altmU65yUyfOMMK154n_SQ5pPhVLORtO_zEIEuSH; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=kX.rEGE9sOtYbsTQo_iWUqxkv0mAsg.x7tfNlQv2vJs-1785947208.3534102-1.0.1.1-PpUAh3AmSndxsINTJAp9vrA3pfCjoEe8ZJD6LMalQxE; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a643916322e-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 248
< Cache-Control: public, max-age=300
< ETag: "42b198bd222197966e0e61a162f4bce9"
< Last-Modified: Fri, 08 Mar 2024 20:18:33 GMT
< Server: cloudflare

   - "is-map": "^2.0.3" - is-map@2.0.3
[PackageManager] waiting for 11 tasks
    [94.07ms]
Downloaded is-weakmap versions
   - "is-weakmap": "^2.0.2" - is-weakmap@2.0.2
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=mW0Cl7S.C04Mihtqorkubff4e3lAjaCRtws5z6E7Yy4-1785947208.333804-1.0.1.1-_dWpAozshilyvLkEiLCtrlA12xhj6o2AP8.owa_zG3rW_cnv_JkMnOQ_aYHvFGOnVaVsdLbEYboGhuQJhmrBQUiRwGPu7sALYclczDRIqWabYJncmwXIATpJa5nfQhJG; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=siMhI1OH4GupLRpA_u1Lx1R4d6_9FhTY7sQPSRWzqQM-1785947208.333804-1.0.1.1-lxgHJjP7Le3Wt.QMBvaW3Xey.WQhPTZdfpiOsxIOHdE; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a641c77ad27-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Cache-Control: public, max-age=300
< ETag: "f5d2d02070e2a4ba21597cc603dffade"
< Last-Modified: Tue, 30 Sep 2025 18:23:35 GMT
< Server: cloudflare

[PackageManager] waiting for 10 tasks
    [300.21ms]
Downloaded generator-function versions
   - "generator-function": "^2.0.0" - generator-function@2.0.1
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=VjVjQEihrtZIV5AXD_JuazEDj0ORXd3E0m1F.mgMPT0-1785947208.3117816-1.0.1.1-HNOkshOXllrwhkiWydvxnR_r0Q7B3LFkzX2ym8XALtv7sbE10hMBnHKM_1DjvFG8dnMqnaueuuOikuNUGAV0CdoZxT3KPDhTjc6acwMd6T3cmWGAPfL0_dz.yj0gJIZ5; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=KdHMWroMnCc5hiwscDPshLTeJ1KjfS2zmqq7R8kdXXE-1785947208.3117816-1.0.1.1-T16wPqHF7khbvakgk4SecQcCSyD64b9XD7p_C8r6Ksg; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a63fc2449be-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 127
< Cache-Control: public, max-age=300
< ETag: "c1510ae43f040300f6889cc2d415a7eb"
< Last-Modified: Thu, 23 Jan 2025 03:15:55 GMT
< Server: cloudflare

[PackageManager] waiting for 9 tasks
    [315.89ms]
Downloaded async-function versions
   - "async-function": "^1.0.0" - async-function@1.0.0
> HTTP/1.1 GET https://registry.npmjs.org/for-each
> If-None-Match: W/"3c25fe98824597be8e320811312bb58f"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:49 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=LkPX0aVSSf4ZC_VJb99N7.v9j8vkC_n4XOvlkEp0EKc-1785947209.05525-1.0.1.1-n5NuEh_sprGcsDPtRPExKRz8AnulnpNvEiC7t3EjgLSFLnxukw1xq6b_w7nMAHEVFcWXJVLPioEqr6iOZIU5J6OCfsbr.QxubxfPJqvhaiQjuLRsySpSfHtGNKM2pXTd; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:49 GMT
< set-cookie: _cfuvid=bdzGNaZsGYn2drx0bsKcNkx36otVQjPgQl3YDFBMGEg-1785947209.05525-1.0.1.1-mxnLxhMYZ7exMZyQn1OcaCt7qpPKcWmEEPzku.Puql8; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a689801a91a-MAA
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 191
< Cache-Control: public, max-age=300
< ETag: "3c25fe98824597be8e320811312bb58f"
< Last-Modified: Tue, 11 Feb 2025 06:56:05 GMT
< Server: cloudflare

[PackageManager] waiting for 8 tasks
    [6.47s]
Downloaded for-each versions
   - "for-each": "^0.3.3" - for-each@0.3.5
> HTTP/1.1 GET https://registry.npmjs.org/electron-to-chromium
> If-None-Match: W/"9259df3226d405940262d9495aef19cc"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/fill-range
> If-None-Match: W/"2fccbe11278ecf8d0d2966b07d3143f4"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:54 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=kcs51p6cJH7C2XeOIT4pJc3xJ7KGgDztKP.URVyFYS8-1785947214.401685-1.0.1.1-32rQmeMnFB7ttWQbyWk59tXlYzhOacZ4XT0kI6JKTd0Sk9ESCPxsVc69qSSpWf5qccRjMRNZac.XsuD23bsnSDEE90xcpScN4HggVG..AhFZw.ERgNl.kE3rNgI1w8zv; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:54 GMT
< set-cookie: _cfuvid=AT_zjfGRz1JvUtfOg.Xb3ieEOwWPMzV4xfXJD4CoB0A-1785947214.401685-1.0.1.1-jguV6IIDBtAkxLzfYwXMDtTAqFIS2m9.r0yu2SwAYzw; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a8a09660b22-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 78
< Cache-Control: public, max-age=300
< ETag: "9259df3226d405940262d9495aef19cc"
< Last-Modified: Tue, 04 Aug 2026 22:05:02 GMT
< Server: cloudflare

[PackageManager] waiting for 7 tasks
    [11.74s]
Downloaded electron-to-chromium versions
   - "electron-to-chromium": "^1.5.393" - electron-to-chromium@1.5.401
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:54 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=.M2.PD7aTe.iL4h1gpZGNi2wTX5JaVSAeLTbIVrPh4Q-1785947214.4091964-1.0.1.1-0ZqBeFURV.KrxeEuedfZuJ.gFzvJiqLIncN3Wm0V4A4m2GVJoD0I5ifYyiugyAfJIfxSBWB6GiDc5i9kCpDo1UcaKuALwPGLMHYDXHse4Qy2L2FgZPkH2o5MEfdM_m2Q; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:54 GMT
< set-cookie: _cfuvid=1nWSdfUnX6D4bFWQKWAUpZU1iFjM3E3q4xwGCUsuVsc-1785947214.4091964-1.0.1.1-kmSbtHuSngcvqrPd1RNWRVxB_4QneiBLtG01M8sdFTw; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a8a0cdf9a55-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 40
< Cache-Control: public, max-age=300
< ETag: "2fccbe11278ecf8d0d2966b07d3143f4"
< Last-Modified: Wed, 27 May 2026 19:50:32 GMT
< Server: cloudflare

[PackageManager] waiting for 6 tasks
    [11.77s]
Downloaded fill-range versions
   - "fill-range": "^7.1.1" - fill-range@7.1.1
Enqueue package manifest for download: to-regex-range
> HTTP/1.1 GET https://registry.npmjs.org/to-regex-range
> If-None-Match: W/"7495ca796ee086bd2df5ac03ac79bce7"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/set-proto
> If-None-Match: W/"c384219ae0aaa4c87a50ad7b40527f9b"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:54 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=aMAWh3SCbVL6G2kAKao.9CtD1T3EcMY6xTfSIa9wfok-1785947214.511659-1.0.1.1-4rfhf4xndUaeEtnKqXJhPA8SmzYfWFyL93QzhS.AmeksrH3bhVXBzpu_4DbssQficXySW45ufPIFODKP44TFMl6geSl..tNYdFx2re2UeOJXCWDPqEKvUTkbxyaDM3eW; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:54 GMT
< set-cookie: _cfuvid=.vvDFo1HZRph.jyOweGyNh2s2LwUhCDGgYI337bZlNs-1785947214.511659-1.0.1.1-O1SpGDz4fQFpzGwNdvbOZqQx7oHI_EQpN3Z8jGvTGnA; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a8ab9d18c9a-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 144
< Cache-Control: public, max-age=300
< ETag: "7495ca796ee086bd2df5ac03ac79bce7"
< Last-Modified: Mon, 27 Jun 2022 07:24:38 GMT
< Server: cloudflare

[PackageManager] waiting for 6 tasks
    [79.82ms]
Downloaded to-regex-range versions
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:54 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=EUGq5xH8mrpoFEnpvohlsgVdyyiWRQPDb0EMP7VJ4aI-1785947214.516026-1.0.1.1-Jfi85I.tKMJ_H72Yaet3gRwzu2pnULY8ZErqPTTWENVCCmtg1QuLPQFlYDHK.nQkocyAbIvo0Kwn59Xhuk2_NZw3WvfQ0xPbTWvM2vjdiNVCIZX.u44Ooi2nfPKELaoy; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:54 GMT
< set-cookie: _cfuvid=Cx98dtNEmMOEYm46W9gZXzvIJrSHYihoE4fAInAifu8-1785947214.516026-1.0.1.1-.zmgUBX8saMJRAmvbm.GKQBBpEosAJommGNpxsxOVwM; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a8abc5fad27-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 196
< Cache-Control: public, max-age=300
< ETag: "c384219ae0aaa4c87a50ad7b40527f9b"
< Last-Modified: Mon, 30 Dec 2024 23:30:09 GMT
< Server: cloudflare

   - "to-regex-range": "^5.0.1" - to-regex-range@5.0.1
Enqueue package manifest for download: is-number
[PackageManager] waiting for 6 tasks
    [11.86s]
Downloaded set-proto versions
> HTTP/1.1 GET https://registry.npmjs.org/is-number
> If-None-Match: W/"47deffbfb71a701056c86b6f4e7acfd8"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
   - "set-proto": "^1.0.0" - set-proto@1.0.0
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:54 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=IKXyGr3AIuglo7C8_NIfv6YsSsUG5dRIBRsoa96j15M-1785947214.572266-1.0.1.1-p4XytqJBUEYxsIVW2Xnww8txWL.bRjO.Xv9UkKts_mXazZC7yYYciknEHuRlD7ITNbFK_nyxpKUQzypLm2Ar_Sgy5cqwjH8Z2gBNtP1jJVKVAmYyc.z6e.5V9gcWrc.x; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:54 GMT
< set-cookie: _cfuvid=98kYY0uz_VGWn0Pc3ItIlEVAbV9f.CEv69l5iiZ4lBI-1785947214.572266-1.0.1.1-lt_YZqBjp1C.69EaerhIVP61ahOBy8D_bIYg9bsGFqQ; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a8b1b358c9a-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 200
< Cache-Control: public, max-age=300
< ETag: "47deffbfb71a701056c86b6f4e7acfd8"
< Last-Modified: Fri, 26 May 2023 16:12:34 GMT
< Server: cloudflare

[PackageManager] waiting for 5 tasks
    [63.23ms]
Downloaded is-number versions
   - "is-number": "^7.0.0" - is-number@7.0.0
[PackageManager] waiting for 4 tasks
> HTTP/1.1 GET https://registry.npmjs.org/is-document.all
> If-None-Match: W/"75e09f6787ea4aa072e74b799a9a9e78"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:27:06 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=b4SguhlOI91bktQuo9uuszrdsxV2VfUTV7cEIwyLCDM-1785947226.3321671-1.0.1.1-m5ddsNQgsiw4j8m6rR6aWGN2F30EGoznKdOMUbniL8Qk6ePkWvo84Y71aJ0USbN3scTGptY8mQjI5OcZRGY7RHLs0zZhaCNMgj1GA6rDL8tylVCNutmnzwdT2CkY2CMs; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:57:06 GMT
< set-cookie: _cfuvid=Gt9deEMZyCQiJaPMFJld6021t6yMZSdxKvzt4k8IfCg-1785947226.3321671-1.0.1.1-8g1QAEhlsiSS2Cg3Wbz1.BP4IdAgfbqsuPHX1cKhlUo; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672ad498758c9a-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 155
< Cache-Control: public, max-age=300
< ETag: "75e09f6787ea4aa072e74b799a9a9e78"
< Last-Modified: Thu, 11 Jun 2026 21:30:10 GMT
< Server: cloudflare

[PackageManager] waiting for 4 tasks
    [61.80ms]
Downloaded is-document.all versions
   - "is-document.all": "^1.0.0" - is-document.all@1.0.0
[PackageManager] waiting for 3 tasks
[PackageManager] waiting for 3 tasks
> HTTP/1.1 GET https://registry.npmjs.org/es-abstract-get
> If-None-Match: W/"8e5110823ad5289692db3b299a0cf43e"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/@next/swc-win32-x64-msvc/-/swc-win32-x64-msvc-16.3.0.tgz
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Accept: */*
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:31:45 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=RaSHboj8UsUdlzvaJsxpyUooewl4WUvv93izToQpq2E-1785947505.944175-1.0.1.1-8sOjXT4sFJNM2cRC2tlqBrfMVpPQknQb1Cba2BeeWrEFltYe6jDWYo.5PgHGQLjStcdKph2NloMpPLIbN71QOl2YrZ4FkjHrJiyv.dZbrKZkRxBxbRSlV5et0uZeoQIl; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 17:01:45 GMT
< set-cookie: _cfuvid=jRDdNBAQ5RIlVCfFxQvuhTC6SqUP1qPsyvR442nUC6o-1785947505.944175-1.0.1.1-9Ucf9F2Pv.PoTFj9T8YAXwNcaR434A.nsRIh3cMjOY4; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a26731a82d1de14a-MAA
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 129
< Cache-Control: public, max-age=300
< ETag: "8e5110823ad5289692db3b299a0cf43e"
< Last-Modified: Tue, 16 Jun 2026 00:51:40 GMT
< Server: cloudflare

[PackageManager] waiting for 3 tasks
    [2.77s]
Downloaded es-abstract-get versions
   - "es-abstract-get": "^1.0.0" - es-abstract-get@1.0.0
< 200 OK
< Date: Wed, 05 Aug 2026 16:31:46 GMT
< Content-Type: application/octet-stream
< Content-Length: 34821454
< Connection: keep-alive
< set-cookie: __cf_bm=Yaj8YIk2FpWdRBDoyJrgAvmkqq5JynWlGbN5IkgJvaU-1785947506.0861108-1.0.1.1-7jxn5Uoh20egu88B92vWvCqnNtJcAUOotRFOvwT.KGruvgMumHbeBB.1L6j0fon0VNh2xXxZiOWdYyhW2Ogoe2omr.KyqWgVltQFmqVrq.t7BqtTb4ZLsv8uPGDsipUi; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 17:01:46 GMT
< set-cookie: _cfuvid=zX5Sk.6TldCtaqloawo6vaqZ6yRPS4258Zcqb0il41w-1785947506.0861108-1.0.1.1-0CTpiWuYCnctG19wITa.ncHvYPgquIlZ7Pu2.Hn3h58; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a26731a90c77298c-CJB
< CF-Cache-Status: HIT
< Accept-Ranges: bytes
< Access-Control-Allow-Origin: *
< Age: 158428
< Cache-Control: public, must-revalidate, max-age=31557600
< ETag: "6703f6a2d442409e1c5606d3bc3c693c"
< Last-Modified: Mon, 03 Aug 2026 20:31:16 GMT
< Server: cloudflare

[PackageManager] waiting for 2 tasks
error: Fail extracting tarball for "@next/swc-win32-x64-msvc"
[PackageManager] waiting for 1 tasks
error: Fail extracting tarball for "next"
Resolved, downloaded and extracted [46]
warn: UNKNOWN_CERTIFICATE_VERIFICATION_ERROR downloading package manifest is-document.all. Retry 1/5...

warn: Timeout downloading package manifest es-abstract-get. Retry 1/5...

warn: warn: Timeout downloading tarball @next/swc-win32-x64-msvc@16.3.0. Retrying 1/5...

error: Fail extracting tarball from @next/swc-win32-x64-msvc

error: Fail extracting tarball from next
Clean lockfile: 436 packages - 436 packages in 1.8ms
Skip installing @next/swc-darwin-arm64 - cpu & os mismatch
Skip installing @next/swc-darwin-x64 - os mismatch
Skip installing @next/swc-linux-arm64-gnu - cpu & os mismatch
Skip installing @next/swc-linux-arm64-musl - cpu & os mismatch
Skip installing @next/swc-linux-x64-gnu - os mismatch
Skip installing @next/swc-linux-x64-musl - os mismatch
Skip installing @next/swc-win32-arm64-msvc - cpu mismatch
Skip installing @tailwindcss/oxide-android-arm64 - cpu & os mismatch
Skip installing @tailwindcss/oxide-darwin-arm64 - cpu & os mismatch
Skip installing @tailwindcss/oxide-darwin-x64 - os mismatch
Skip installing @tailwindcss/oxide-freebsd-x64 - os mismatch
Skip installing @tailwindcss/oxide-linux-arm-gnueabihf - cpu & os mismatch
Skip installing @tailwindcss/oxide-linux-arm64-gnu - cpu & os mismatch
Skip installing @tailwindcss/oxide-linux-arm64-musl - cpu & os mismatch
Skip installing @tailwindcss/oxide-linux-x64-gnu - os mismatch
Skip installing @tailwindcss/oxide-linux-x64-musl - os mismatch
Skip installing @tailwindcss/oxide-wasm32-wasi - cpu mismatch
Skip installing @tailwindcss/oxide-win32-arm64-msvc - cpu mismatch
Skip installing @img/sharp-darwin-arm64 - cpu & os mismatch
Skip installing @img/sharp-darwin-x64 - os mismatch
Skip installing @img/sharp-freebsd-wasm32 - os mismatch
Skip installing @img/sharp-libvips-darwin-arm64 - cpu & os mismatch
Skip installing @img/sharp-libvips-darwin-x64 - os mismatch
Skip installing @img/sharp-libvips-linux-arm - cpu & os mismatch
Skip installing @img/sharp-libvips-linux-arm64 - cpu & os mismatch
Skip installing @img/sharp-libvips-linux-ppc64 - cpu & os mismatch
Skip installing @img/sharp-libvips-linux-riscv64 - cpu & os mismatch
Skip installing @img/sharp-libvips-linux-s390x - cpu & os mismatch
Skip installing @img/sharp-libvips-linux-x64 - os mismatch
Skip installing @img/sharp-libvips-linuxmusl-arm64 - cpu & os mismatch
Skip installing @img/sharp-libvips-linuxmusl-x64 - os mismatch
Skip installing @img/sharp-linux-arm - cpu & os mismatch
Skip installing @img/sharp-linux-arm64 - cpu & os mismatch
Skip installing @img/sharp-linux-ppc64 - cpu & os mismatch
Skip installing @img/sharp-linux-riscv64 - cpu & os mismatch
Skip installing @img/sharp-linux-s390x - cpu & os mismatch
Skip installing @img/sharp-linux-x64 - os mismatch
Skip installing @img/sharp-linuxmusl-arm64 - cpu & os mismatch
Skip installing @img/sharp-linuxmusl-x64 - os mismatch
Skip installing @img/sharp-webcontainers-wasm32 - cpu mismatch
Skip installing @img/sharp-win32-arm64 - cpu mismatch
Skip installing @img/sharp-win32-ia32 - cpu mismatch
Skip installing lightningcss-android-arm64 - cpu & os mismatch
Skip installing lightningcss-darwin-arm64 - cpu & os mismatch
Skip installing lightningcss-darwin-x64 - os mismatch
Skip installing lightningcss-freebsd-x64 - os mismatch
Skip installing lightningcss-linux-arm-gnueabihf - cpu & os mismatch
Skip installing lightningcss-linux-arm64-gnu - cpu & os mismatch
Skip installing lightningcss-linux-arm64-musl - cpu & os mismatch
Skip installing lightningcss-linux-x64-gnu - os mismatch
Skip installing lightningcss-linux-x64-musl - os mismatch
Skip installing lightningcss-win32-arm64-msvc - cpu mismatch
Skip installing @unrs/resolver-binding-android-arm-eabi - cpu & os mismatch
Skip installing @unrs/resolver-binding-android-arm64 - cpu & os mismatch
Skip installing @unrs/resolver-binding-darwin-arm64 - cpu & os mismatch
Skip installing @unrs/resolver-binding-darwin-x64 - os mismatch
Skip installing @unrs/resolver-binding-freebsd-x64 - os mismatch
Skip installing @unrs/resolver-binding-linux-arm-gnueabihf - cpu & os mismatch
Skip installing @unrs/resolver-binding-linux-arm-musleabihf - cpu & os mismatch
Skip installing @unrs/resolver-binding-linux-arm64-gnu - cpu & os mismatch
Skip installing @unrs/resolver-binding-linux-arm64-musl - cpu & os mismatch
Skip installing @unrs/resolver-binding-linux-loong64-gnu - cpu & os mismatch
Skip installing @unrs/resolver-binding-linux-loong64-musl - cpu & os mismatch
Skip installing @unrs/resolver-binding-linux-ppc64-gnu - cpu & os mismatch
Skip installing @unrs/resolver-binding-linux-riscv64-gnu - cpu & os mismatch
Skip installing @unrs/resolver-binding-linux-riscv64-musl - cpu & os mismatch
Skip installing @unrs/resolver-binding-linux-s390x-gnu - cpu & os mismatch
Skip installing @unrs/resolver-binding-linux-x64-gnu - os mismatch
Skip installing @unrs/resolver-binding-linux-x64-musl - os mismatch
Skip installing @unrs/resolver-binding-openharmony-arm64 - cpu & os mismatch
Skip installing @unrs/resolver-binding-wasm32-wasi - cpu mismatch
Skip installing @unrs/resolver-binding-win32-arm64-msvc - cpu mismatch
Skip installing @unrs/resolver-binding-win32-ia32-msvc - cpu mismatch
ENOENT: failed opening cache/package/version dir for package postcss
